ccode,name,layer,degree,betweenness,closeness,eigenvector,period
365,RUS,alliance,6,0.3759,0.7143,0.3574,pre_wwi
255,GMY,alliance,5,0.2111,0.625,0.3415,pre_wwi
740,JPN,alliance,3,0.2111,0.5556,0.1536,pre_wwi
200,UKG,alliance,5,0.1167,0.5882,0.3506,pre_wwi
325,ITA,alliance,6,0.0574,0.6667,0.4444,pre_wwi
300,AUH,alliance,5,0.037,0.625,0.3896,pre_wwi
230,SPN,alliance,5,0.0352,0.5882,0.3829,pre_wwi
220,FRN,alliance,4,0.0222,0.5556,0.3187,pre_wwi
640,TUR,alliance,1,0.0,0.4,0.0709,pre_wwi
710,CHN,alliance,1,0.0,0.4348,0.0742,pre_wwi
2,USA,alliance,1,0.0,0.3704,0.0319,pre_wwi
2,USA,trade,11,0.0092,1.0,0.3028,pre_wwi
200,UKG,trade,11,0.0092,1.0,0.3028,pre_wwi
211,BEL,trade,11,0.0092,1.0,0.3028,pre_wwi
220,FRN,trade,11,0.0092,1.0,0.3028,pre_wwi
255,GMY,trade,11,0.0092,1.0,0.3028,pre_wwi
325,ITA,trade,11,0.0092,1.0,0.3028,pre_wwi
365,RUS,trade,11,0.0092,1.0,0.3028,pre_wwi
740,JPN,trade,10,0.0045,0.9167,0.2802,pre_wwi
300,AUH,trade,10,0.002,0.9167,0.2826,pre_wwi
640,TUR,trade,10,0.002,0.9167,0.2826,pre_wwi
230,SPN,trade,9,0.0,0.8462,0.258,pre_wwi
710,CHN,trade,8,0.0,0.7857,0.2307,pre_wwi
2,USA,disputes,6,0.1818,0.6875,0.2372,pre_wwi
255,GMY,disputes,9,0.125,0.8462,0.354,pre_wwi
300,AUH,disputes,8,0.0553,0.7333,0.3213,pre_wwi
710,CHN,disputes,8,0.0489,0.7857,0.3371,pre_wwi
640,TUR,disputes,8,0.0459,0.7333,0.3233,pre_wwi
200,UKG,disputes,8,0.0418,0.7857,0.3437,pre_wwi
220,FRN,disputes,8,0.0418,0.7857,0.3437,pre_wwi
325,ITA,disputes,7,0.0231,0.7333,0.3113,pre_wwi
365,RUS,disputes,6,0.0079,0.6471,0.2682,pre_wwi
740,JPN,disputes,6,0.0079,0.6471,0.2682,pre_wwi
211,BEL,disputes,3,0.0023,0.55,0.1375,pre_wwi
230,SPN,disputes,1,0.0,0.4231,0.0327,pre_wwi
365,RUS,alliance,7,0.1881,0.6667,0.3171,pre_wwii
220,FRN,alliance,9,0.1768,0.8,0.4084,pre_wwii
2,USA,alliance,4,0.1667,0.5714,0.1766,pre_wwii
200,UKG,alliance,8,0.1136,0.75,0.3847,pre_wwii
325,ITA,alliance,8,0.0922,0.7059,0.375,pre_wwii
255,GMY,alliance,8,0.0808,0.7059,0.3834,pre_wwii
740,JPN,alliance,6,0.0606,0.6316,0.2988,pre_wwii
315,CZE,alliance,3,0.0,0.5455,0.1736,pre_wwii
290,POL,alliance,4,0.0,0.5714,0.2356,pre_wwii
211,BEL,alliance,4,0.0,0.5455,0.2447,pre_wwii
710,CHN,alliance,1,0.0,0.4138,0.05,pre_wwii
230,SPN,alliance,3,0.0,0.5217,0.1667,pre_wwii
140,BRA,alliance,1,0.0,0.375,0.0279,pre_wwii
2,USA,trade,12,0.0014,1.0,0.2804,pre_wwii
200,UKG,trade,12,0.0014,1.0,0.2804,pre_wwii
211,BEL,trade,12,0.0014,1.0,0.2804,pre_wwii
220,FRN,trade,12,0.0014,1.0,0.2804,pre_wwii
230,SPN,trade,12,0.0014,1.0,0.2804,pre_wwii
255,GMY,trade,12,0.0014,1.0,0.2804,pre_wwii
290,POL,trade,12,0.0014,1.0,0.2804,pre_wwii
315,CZE,trade,12,0.0014,1.0,0.2804,pre_wwii
325,ITA,trade,12,0.0014,1.0,0.2804,pre_wwii
710,CHN,trade,12,0.0014,1.0,0.2804,pre_wwii
740,JPN,trade,12,0.0014,1.0,0.2804,pre_wwii
140,BRA,trade,11,0.0,0.9231,0.2601,pre_wwii
365,RUS,trade,11,0.0,0.9231,0.2601,pre_wwii
255,GMY,disputes,10,0.3536,0.9167,0.4163,pre_wwii
365,RUS,disputes,8,0.1361,0.7857,0.3819,pre_wwii
710,CHN,disputes,8,0.077,0.7857,0.4023,pre_wwii
200,UKG,disputes,6,0.0218,0.6875,0.334,pre_wwii
325,ITA,disputes,6,0.0218,0.6875,0.3313,pre_wwii
740,JPN,disputes,5,0.0142,0.6111,0.2703,pre_wwii
290,POL,disputes,3,0.0121,0.5789,0.1461,pre_wwii
220,FRN,disputes,5,0.0112,0.6471,0.2957,pre_wwii
2,USA,disputes,4,0.0067,0.6111,0.2335,pre_wwii
211,BEL,disputes,2,0.0,0.55,0.131,pre_wwii
315,CZE,disputes,2,0.0,0.5238,0.0923,pre_wwii
230,SPN,disputes,3,0.0,0.5789,0.1887,pre_wwii
2,USA,diplomacy,11,0.004,1.0,0.2958,pre_wwi
200,UKG,diplomacy,11,0.004,1.0,0.2958,pre_wwi
211,BEL,diplomacy,11,0.004,1.0,0.2958,pre_wwi
220,FRN,diplomacy,11,0.004,1.0,0.2958,pre_wwi
230,SPN,diplomacy,11,0.004,1.0,0.2958,pre_wwi
255,GMY,diplomacy,11,0.004,1.0,0.2958,pre_wwi
300,AUH,diplomacy,11,0.004,1.0,0.2958,pre_wwi
325,ITA,diplomacy,11,0.004,1.0,0.2958,pre_wwi
365,RUS,diplomacy,11,0.004,1.0,0.2958,pre_wwi
710,CHN,diplomacy,10,0.0,0.9167,0.2745,pre_wwi
740,JPN,diplomacy,10,0.0,0.9167,0.2745,pre_wwi
640,TUR,diplomacy,9,0.0,0.8462,0.2488,pre_wwi
2,USA,diplomacy,12,0.0,1.0,0.2774,pre_wwii
140,BRA,diplomacy,12,0.0,1.0,0.2774,pre_wwii
200,UKG,diplomacy,12,0.0,1.0,0.2774,pre_wwii
211,BEL,diplomacy,12,0.0,1.0,0.2774,pre_wwii
220,FRN,diplomacy,12,0.0,1.0,0.2774,pre_wwii
230,SPN,diplomacy,12,0.0,1.0,0.2774,pre_wwii
255,GMY,diplomacy,12,0.0,1.0,0.2774,pre_wwii
290,POL,diplomacy,12,0.0,1.0,0.2774,pre_wwii
315,CZE,diplomacy,12,0.0,1.0,0.2774,pre_wwii
325,ITA,diplomacy,12,0.0,1.0,0.2774,pre_wwii
365,RUS,diplomacy,12,0.0,1.0,0.2774,pre_wwii
710,CHN,diplomacy,12,0.0,1.0,0.2774,pre_wwii
740,JPN,diplomacy,12,0.0,1.0,0.2774,pre_wwii
